Longitude,Latitude,Magnitude
-121.6275,36.97917,2.87
-121.15434,36.56967,3.57
-121.47266,36.7715,3.82
-122.04166,37.9025,2.69
-121.57233,37.14133,2.75
-121.50217,37.0705,2.67
-121.67817,37.3105,3.09
-121.42717,36.71367,3.01
-121.4095,36.87933,2.75
-121.67033,37.407,3.25
-121.12083,37.08133,3.27
-121.702,37.33233,3.06
-121.7075,37.34566,2.96
-121.7125,37.34517,3.19
-121.80067,37.53817,3.31
-121.12283,36.56617,2.85
-121.54984,37.16217,2.55
-121.52966,37.142,2.53
-120.84267,35.0165,3.77
-118.90617,37.1935,3.8
-121.11517,36.56833,2.79
-121.50716,36.8485,2.96
-121.43916,36.95567,2.63
-120.96933,35.18383,3.92
-121.3165,36.94233,2.67
-121.24983,36.62867,2.57
-120.386,35.90833,2.63
-119.55783,36.078,3.5
-121.29583,36.72817,2.71
-121.57117,36.95833,3.05
-121.63067,36.98017,2.8
-121.7025,37.013,3.1
-121.72117,37.00867,2.83
-121.7175,37.01033,3
-121.70517,37.0135,3.2
-121.25467,37.1135,2.53
-120.51067,35.61267,3.44
-121.44566,36.95633,2.56
-120.0695,36.319,3
-121.70133,37.01133,2.61
-121.33767,36.888,3.71
-121.152,36.56667,2.87
-121.71384,36.9395,3.75
-121.68983,36.00717,2.5
-121.04784,36.46283,3.06
-121.8795,37.5195,2.57
-121.0385,36.46233,3.31
-121.6535,37,2.96
-121.69666,37.01417,2.65
-121.19833,36.59933,3.2
-121.12434,36.54617,2.55
-121.70483,37.00467,2.65
-121.193,36.59317,3.84
-120.561,35.99333,2.63
-121.17284,35.72367,2.74
-120.272,35.7505,3.2
-121.12167,36.56317,2.72
-121.07733,36.49917,2.85
-120.96667,36.3845,3.4
-121.33067,36.87833,3.1
-122.15466,37.78483,2.9
-121.219,36.603,2.53
-121.73683,37.04716,3.27
-121.27216,36.6915,3.33
-121.27084,36.68983,3.27
-121.27517,36.69233,3.2
-121.142,36.5495,3.16
